央视高清,#genre#
CCTV1,http://gslbserv.itv.cmvideo.cn/1000000001000018602/index.m3u8?livemode=1&stbId=test&channel-id=ystenlive&Contentid=1000000001000018602$YS8M
CCTV1,http://gslbserv.itv.cmvideo.cn/6000000001000029752/index.m3u8?livemode=1&stbId=test&channel-id=wasusyt&Contentid=6000000001000029752$WA8M
CCTV2,http://gslbserv.itv.cmvideo.cn/1000000001000023315/index.m3u8?livemode=1&stbId=test&channel-id=ystenlive&Contentid=1000000001000023315$YS8M
CCTV2,http://gslbserv.itv.cmvideo.cn/6000000001000014161/index.m3u8?livemode=1&stbId=test&channel-id=wasusyt&Contentid=6000000001000014161$WA8M
CCTV2,http://gslbserv.itv.cmvideo.cn/5000000011000031101/index.m3u8?livemode=1&stbId=test&channel-id=bestzb&Contentid=5000000011000031101$BT6.8M
CCTV3,http://gslbserv.itv.cmvideo.cn/5000000004000008883/index.m3u8?livemode=1&stbId=test&channel-id=bestzb&Contentid=5000000004000008883$BT6.8M
CCTV3,http://gslbserv.itv.cmvideo.cn/1000000001000013682/index.m3u8?livemode=1&stbId=test&channel-id=ystenlive&Contentid=1000000001000013682$YS8M
CCTV3,http://gslbserv.itv.cmvideo.cn/6000000001000022313/index.m3u8?livemode=1&stbId=test&channel-id=wasusyt&Contentid=6000000001000022313$WA8M
CCTV4,http://gslbserv.itv.cmvideo.cn/1000000005000265004/index.m3u8?livemode=1&stbId=test&channel-id=ystenlive&Contentid=1000000005000265004$YS5.5M
CCTV4,http://gslbserv.itv.cmvideo.cn/5000000011000031102/index.m3u8?livemode=1&stbId=test&channel-id=bestzb&Contentid=5000000011000031102$BT8M
CCTV5,http://gslbserv.itv.cmvideo.cn/1000000005000025222/index.m3u8?livemode=1&stbId=test&channel-id=ystenlive&Contentid=1000000005000025222$YS12M
CCTV5,http://gslbserv.itv.cmvideo.cn/5000000004000008885/index.m3u8?livemode=1&stbId=test&channel-id=bestzb&Contentid=5000000004000008885$BT6.8M
CCTV5,http://gslbserv.itv.cmvideo.cn/6000000001000016431/index.m3u8?livemode=1&stbId=test&channel-id=wasusyt&Contentid=6000000001000016431$WA8M
CCTV5+,http://gslbserv.itv.cmvideo.cn/1000000001000018504/index.m3u8?livemode=1&stbId=test&channel-id=ystenlive&Contentid=1000000001000018504$YS8M
CCTV5+,http://gslbserv.itv.cmvideo.cn/6000000001000015875/index.m3u8?livemode=1&stbId=test&channel-id=wasusyt&Contentid=6000000001000015875$WA8M
CCTV5+,http://gslbserv.itv.cmvideo.cn/5000000011000031127/index.m3u8?livemode=1&stbId=test&channel-id=bestzb&Contentid=5000000011000031127$BT8M
CCTV6,http://gslbserv.itv.cmvideo.cn/5000000004000008886/index.m3u8?livemode=1&stbId=test&channel-id=bestzb&Contentid=5000000004000008886$BT6.8M
CCTV6,http://gslbserv.itv.cmvideo.cn/1000000001000001737/index.m3u8?livemode=1&stbId=test&channel-id=ystenlive&Contentid=1000000001000001737$YS8M
CCTV6,http://gslbserv.itv.cmvideo.cn/6000000001000004574/index.m3u8?livemode=1&stbId=test&channel-id=wasusyt&Contentid=6000000001000004574$WA8M
CCTV7,http://gslbserv.itv.cmvideo.cn/1000000001000024341/index.m3u8?livemode=1&stbId=test&channel-id=ystenlive&Contentid=1000000001000024341$YS8M
CCTV7,http://gslbserv.itv.cmvideo.cn/6000000001000009055/index.m3u8?livemode=1&stbId=test&channel-id=wasusyt&Contentid=6000000001000009055$WA8M
CCTV7,http://gslbserv.itv.cmvideo.cn/5000000011000031104/index.m3u8?livemode=1&stbId=test&channel-id=bestzb&Contentid=5000000011000031104$BT8M
CCTV8,http://gslbserv.itv.cmvideo.cn/1000000001000003736/index.m3u8?livemode=1&stbId=test&channel-id=ystenlive&Contentid=1000000001000003736$YS8M
CCTV8,http://gslbserv.itv.cmvideo.cn/1000000001000031433/index.m3u8?livemode=1&stbId=test&channel-id=ystenlive&Contentid=1000000001000031433$YS8M
CCTV8,http://gslbserv.itv.cmvideo.cn/6000000001000001070/index.m3u8?livemode=1&stbId=test&channel-id=wasusyt&Contentid=6000000001000001070$WA8M
CCTV9,http://gslbserv.itv.cmvideo.cn/1000000001000014583/index.m3u8?livemode=1&stbId=test&channel-id=ystenlive&Contentid=1000000001000014583$YS8M
CCTV9,http://gslbserv.itv.cmvideo.cn/6000000001000032162/index.m3u8?livemode=1&stbId=test&channel-id=wasusyt&Contentid=6000000001000032162$WA8M
